word,PMI_Pos,PMI_Neg,PMI_Diff,freq_total,freq_pos,freq_neg
kwezinto,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ngayo,-1.1005330431315212,-0.21270863390714873,-0.8878244092243726,5,1,1
ayeke,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
akufuneki,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ukuya,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
phambili,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
zona,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
izinqumo,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
kokuthatha,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
babizwe,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
ayikho,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
lokhu,-0.5859598703017631,0.3018645389226095,-0.8878244092243726,7,2,2
bantu,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
phambi,0.22139505175584123,1.1092194609802137,-0.8878244092243726,2,1,1
abaningi,-0.7786049482441588,0.1092194609802138,-0.8878244092243727,4,1,1
ndodana,-0.7786049482441588,0.1092194609802138,-0.8878244092243727,8,2,2
embhoshongweni,-0.7786049482441588,0.1092194609802138,-0.8878244092243727,4,1,1
lena,-1.7786049482441588,-0.8907805390197862,-0.8878244092243727,8,1,1
isikhathi,-0.7786049482441588,0.1092194609802138,-0.8878244092243727,8,2,2
ngalokho,-0.7786049482441588,0.1092194609802138,-0.8878244092243727,4,1,1
emotweni,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
lona,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
izizathu,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
nami,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
namanje,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
muzi,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
uyazi,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
isuke,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
iye,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
nsizwa,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
odla,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
umsila,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
kwaba,0.0,1.1092194609802137,-1.1092194609802137,2,0,1
